2021-05-17 22:53:33,172 INFO  [background-preinit] o.h.v.i.u.Version - HV000001: Hibernate Validator 6.1.7.Final
2021-05-17 22:53:35,132 INFO  [restartedMain] o.h.Version - HHH000412: Hibernate ORM core version 5.4.28.Final
2021-05-17 22:53:35,227 INFO  [restartedMain] o.h.a.c.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-05-17 22:53:35,381 INFO  [restartedMain] o.h.d.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2021-05-17 22:53:35,509 WARN  [restartedMain] o.h.b.i.InFlightMetadataCollectorImpl - HHH000069: Duplicate generator name gen
2021-05-17 22:53:35,510 WARN  [restartedMain] o.h.b.i.InFlightMetadataCollectorImpl - HHH000069: Duplicate generator name gen
2021-05-17 22:53:35,934 INFO  [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-05-17 22:53:35,941 INFO  [restartedMain] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-05-17 22:53:36,507 WARN  [restartedMain] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-05-17 22:53:37,065 INFO  [restartedMain] o.s.s.w.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@31eb15ed, org.springframework.security.web.context.SecurityContextPersistenceFilter@55cb8a51, org.springframework.security.web.header.HeaderWriterFilter@73c21da, org.springframework.security.web.authentication.logout.LogoutFilter@39af35d9, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@4dd8c6e1, org.springframework.security.web.session.ConcurrentSessionFilter@36bbbe2d, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@5d8a4ef, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@32c66272, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@11ef99de, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@4790a514, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4ac9fc33, org.springframework.security.web.session.SessionManagementFilter@2079ad31, org.springframework.security.web.access.ExceptionTranslationFilter@d650195, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@22e40373]
2021-05-17 22:53:37,140 INFO  [restartedMain] o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-05-17 22:53:37,171 INFO  [restartedMain] o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
2021-05-17 22:53:37,382 INFO  [restartedMain] o.a.c.h.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2021-05-17 22:53:37,400 INFO  [restartedMain] o.s.b.w.e.t.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-05-17 22:53:37,733 INFO  [restartedMain] m.Application - Started Application in 4.854 seconds (JVM running for 7.593)
2021-05-17 22:53:43,096 INFO  [http-nio-8080-exec-1] o.a.c.c.C.[.[.[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-05-17 22:53:43,096 INFO  [http-nio-8080-exec-1] o.s.w.s.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-05-17 22:53:43,098 INFO  [http-nio-8080-exec-1] o.s.w.s.DispatcherServlet - Completed initialization in 2 ms
2021-05-17 22:53:43,318 WARN  [http-nio-8080-exec-1] o.a.c.u.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [201] milliseconds.
